Role in Cosmetics Industry,Cosmetic Brand Used Most Frequently,Years Using Brand,Learned About Brand,Marketing Channels Followed,Personal Use at Home,Most Familiar Product Line,Potential Causes to Stop Using Brand,Issues Encountered,Loyalty,Use Online Store,Average Quarterly Spend
Cosmetology specialist,Brand E,10,Word of mouth,"Phone calls to the sales manager, Through colleagues/bosses, Visits to a physical store, Linkedin, Instagram, Linkedin, Email, Email, Through colleagues/bosses",Yes,Product Line 3,"Receiving spoiled or damaged products, New product lines lacking a unique sales proposition",2,5,Yes,251
Cosmetics brand owner,Brand D,18,At an exhibition,"Phone calls to the sales manager, Visits to a physical store, TikTok, Visiting the website, TikTok, Visiting the website, Through colleagues/bosses, Visiting the website",Yes,Product Line 2,"Dissatisfaction with products among clients, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Slow or poor product delivery, Slow or poor product delivery",4,6,Yes,680
Cosmetology specialist,Brand D,6,Word of mouth,Visiting the website,No,Product Line 4,"Receiving spoiled or damaged products, Receiving spoiled or damaged products, Brand not recognized or preferred by clients, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Moving to another country where the brand is unknown",3,10,Yes,272
Individual consumer,Brand E,4,Through an internet search,Visits to a physical store,Yes,Product Line 2,"Products becoming widely available in shops, Absence of new product lines, Brand not recognized or preferred by clients, Ethical or financial scandals associated with the brand or personnel, Product-based procedures becoming less profitable",4,7,No,365
Massage professional,Brand A,6,School/college,Visiting the website,Yes,Product Line 5,Absence of new product lines,4,4,Yes,452
Individual consumer,Brand A,0,Through an internet search,Visiting the website,Yes,Product Line 3,"Slow or poor product delivery, Products becoming widely available in shops, Lack of educational seminars supporting new products",3,4,No,217
Beauty studio manager/administrator,Brand B,3,School/college,"Through colleagues/bosses, Visiting the website, Instagram, I do not follow any, Visiting the website, Visiting the website, Visiting the website, TikTok, Email",Yes,Product Line 2,"Ethical or financial scandals associated with the brand or personnel, Reduced support from sales manager, Receiving spoiled or damaged products, Brand not recognized or preferred by clients, Brand not recognized or preferred by clients, Ethical or financial scandals associated with the brand or personnel, Lack of educational seminars supporting new products, Slow or poor product delivery",3,5,Yes,483
Individual consumer,Brand A,5,From a family member,"Email, Visiting the website, Visiting the website, Through colleagues/bosses, Instagram, Instagram, Email",Yes,Product Line 3,"Moving to another country where the brand is unknown, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Slow or poor product delivery, Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, New product lines lacking a unique sales proposition, New product lines lacking a unique sales proposition, New product lines lacking a unique sales proposition",1,9,Yes,137
Individual consumer,Brand C,10,Through an internet search,"Visiting the website, Linkedin, Through colleagues/bosses, Visiting the website, Visiting the website, TikTok, Linkedin, Visiting the website, Phone calls to the sales manager",Yes,Product Line 3,"Slow or poor product delivery, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Reduced support from sales manager, Moving to another country where the brand is unknown, New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients, Reduced support from sales manager, Products becoming widely available in shops",2,10,No,207
Individual consumer,Brand A,8,From colleagues,Visiting the website,Yes,Product Line 2,Lack of educational seminars supporting new products,1,4,No,104
"Other, please specify",Brand B,3,From colleagues,"Visiting the website, Phone calls to the sales manager, Visits to a physical store, Visiting the website, Visits to a physical store, Visits to a physical store, Visiting the website, Visiting the website",Yes,Product Line 5,"Product-based procedures becoming less profitable, Moving to another country where the brand is unknown, Absence of new product lines, Product-based procedures becoming less profitable, Lack of educational seminars supporting new products, Ethical or financial scandals associated with the brand or personnel, Lack of educational seminars supporting new products",2,6,No,455
Cosmetics brand owner,Brand D,9,Friends,"Phone calls to the sales manager, Visits to a physical store",No,Product Line 2,"Absence of new product lines, Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Absence of new product lines, Brand not recognized or preferred by clients, Product-based procedures becoming less profitable, Reduced support from sales manager",2,7,Yes,289
Massage professional,Brand A,7,Shelf or poster ad at the shop,"Phone calls to the sales manager, TikTok, Visiting the website, Visiting the website, Email, Visiting the website, Instagram, Through colleagues/bosses",Yes,Product Line 4,Slow or poor product delivery,1,4,Yes,254
Beauty studio manager/administrator,Brand B,4,School/college,"Visits to a physical store, Instagram, Visiting the website, TikTok",No,Product Line 2,"Reduced support from sales manager, Dissatisfaction with products among clients",2,9,Yes,224
Massage professional,Brand A,14,From a family member,"Visiting the website, Visiting the website, Visiting the website, Visiting the website, Phone calls to the sales manager, TikTok, I do not follow any, I do not follow any",Yes,Product Line 4,"Product-based procedures becoming less profitable, Product-based procedures becoming less profitable, Products becoming widely available in shops, Products becoming widely available in shops, Lack of educational seminars supporting new products, Products becoming widely available in shops, Brand not recognized or preferred by clients",2,7,Yes,203
Beauty studio manager/administrator,Brand A,2,Shelf or poster ad at the shop,"Visiting the website, Visiting the website, Visiting the website, Instagram, Phone calls to the sales manager",Yes,Product Line 4,"Slow or poor product delivery, Moving to another country where the brand is unknown, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products",2,3,Yes,164
Individual consumer,Brand A,6,School/college,"Visiting the website, TikTok, Visiting the website, Visiting the website, Linkedin",Yes,Product Line 3,"Dissatisfaction with products among clients, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Products becoming widely available in shops, Absence of new product lines, Product-based procedures becoming less profitable",1,5,Yes,462
Individual consumer,Brand A,11,From a family member,"Phone calls to the sales manager, Visits to a physical store, I do not follow any, Visiting the website, Instagram, TikTok, Phone calls to the sales manager, Phone calls to the sales manager",Yes,Product Line 3,"New product lines lacking a unique sales proposition, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products, Dissatisfaction with products among clients",3,7,Yes,508
Individual consumer,Brand A,2,School/college,"TikTok, Visits to a physical store, Visiting the website, Visiting the website, Visiting the website, Visiting the website, Visiting the website, Through colleagues/bosses, Instagram",Yes,Product Line 3,Lack of educational seminars supporting new products,3,7,No,445
Cosmetology specialist,Brand A,0,From a family member,"Phone calls to the sales manager, Visiting the website, Visiting the website, Visiting the website, Visiting the website, Through colleagues/bosses, I do not follow any, Through colleagues/bosses, Visiting the website",No,Product Line 3,Receiving spoiled or damaged products,1,10,Yes,345
